CueWord,totalGuesses,trueGuessesWW,trueGuesseWC
book,30,0,1
letter,30,0,1
man,30,1,1
dragon,30,0,1
lion,30,1,2
witch,30,0,2
teacher,30,0,2
cow,30,2,2
student,30,1,2
child,30,1,2
tree,30,0,2
pie,30,2,2
doctor,30,0,2
shoes,30,3,3
paper,30,0,3
coffee,30,3,3
crown,30,1,3
chef,30,1,3
beer,30,2,3
pilot,30,0,3
car,30,1,3
dog,30,2,3
bed,30,2,4
cat,30,3,5
king,30,2,7
camel,40,0,0
beak,40,0,0
chicken,40,0,0
pumpkin,40,0,0
plate,40,0,0
bear,40,0,0
vase,40,0,0
cage,40,0,0
bank,40,0,0
gift,40,0,0
candy,40,0,0
fish,40,0,0
candle,40,1,0
bee,40,0,0
postman,40,0,0
knife,40,0,0
table,40,0,0
key,40,0,0
apple,40,0,0
feet,40,0,0
church,40,0,0
boat,40,0,0
monkey,40,0,0
leash,40,1,0
frog,40,0,0
drugstore,40,0,0
rabbit,40,0,0
mechanic,40,0,0
baker,40,0,0
honey,40,0,0
ship,40,1,0
beach,40,0,0
ball,40,0,0
desert,40,0,0
builder,40,0,0
axe,40,0,0
milk,40,1,1
granny,40,1,1
woman,40,1,1
school,40,0,1
garage,40,0,1
river,40,1,1
bone,40,0,1
spider,40,1,1
computer,40,0,1
clown,40,1,1
scissors,40,1,1
girl,40,1,1
barn,40,0,1
flower,40,0,1
bag,40,1,1
bird,40,0,1
santa,40,0,1
restaurant,40,0,1
castle,40,0,1
waitress,40,1,1
cheese,40,1,1
hospital,40,0,1
baby,40,0,1
fly,40,1,1
cake,40,1,1
circus,40,1,1
airplane,40,1,1
mouse,40,1,1
lamp,40,0,1
book,40,0,1
letter,40,0,1
man,40,1,1
dragon,40,0,1
hands,40,1,2
house,40,0,2
lion,40,1,2
hammer,40,1,2
witch,40,1,2
teacher,40,0,2
boy,40,1,2
student,40,1,2
horse,40,0,2
pencil,40,1,2
child,40,1,2
tree,40,0,2
pie,40,2,2
doctor,40,0,2
shoes,40,3,3
paper,40,0,3
coffee,40,3,3
crown,40,1,3
chef,40,1,3
cow,40,2,3
sheep,40,1,3
beer,40,2,3
pilot,40,0,3
dog,40,2,3
car,40,1,4
bed,40,2,4
cat,40,4,5
king,40,3,7
camel,50,0,0
beak,50,0,0
chicken,50,0,0
pumpkin,50,0,0
plate,50,0,0
bear,50,0,0
vase,50,0,0
cage,50,0,0
bank,50,0,0
gift,50,0,0
candy,50,0,0
fish,50,0,0
candle,50,1,0
bee,50,0,0
postman,50,0,0
knife,50,0,0
table,50,0,0
key,50,0,0
apple,50,0,0
feet,50,0,0
church,50,0,0
monkey,50,0,0
leash,50,1,0
frog,50,0,0
drugstore,50,0,0
mechanic,50,0,0
baker,50,0,0
honey,50,0,0
beach,50,0,0
ball,50,0,0
desert,50,0,0
builder,50,0,0
axe,50,0,0
granny,50,1,1
woman,50,1,1
garage,50,0,1
river,50,1,1
bone,50,0,1
computer,50,0,1
clown,50,1,1
scissors,50,1,1
girl,50,1,1
barn,50,0,1
bag,50,1,1
bird,50,0,1
santa,50,0,1
restaurant,50,0,1
castle,50,0,1
waitress,50,1,1
boat,50,0,1
rabbit,50,0,1
baby,50,0,1
fly,50,1,1
cake,50,1,1
circus,50,1,1
airplane,50,1,1
mouse,50,1,1
ship,50,1,1
lamp,50,0,1
book,50,0,1
letter,50,0,1
man,50,1,1
dragon,50,0,1
hands,50,1,2
school,50,0,2
spider,50,2,2
hammer,50,2,2
flower,50,1,2
witch,50,1,2
teacher,50,0,2
cheese,50,1,2
student,50,1,2
horse,50,0,2
hospital,50,0,2
pencil,50,1,2
child,50,1,2
tree,50,0,2
pie,50,2,2
paper,50,1,3
milk,50,2,3
coffee,50,3,3
house,50,0,3
chef,50,1,3
lion,50,2,3
boy,50,1,3
cow,50,3,3
sheep,50,1,3
beer,50,2,3
pilot,50,1,3
doctor,50,1,3
dog,50,2,3
shoes,50,3,4
crown,50,1,4
car,50,1,4
bed,50,2,4
cat,50,4,6
king,50,3,7
camel,100,0,0
beak,100,0,0
chicken,100,0,0
pumpkin,100,0,0
plate,100,0,0
vase,100,0,0
cage,100,0,0
bank,100,0,0
gift,100,0,0
candy,100,0,0
fish,100,0,0
bee,100,0,0
postman,100,0,0
key,100,0,0
apple,100,0,0
feet,100,0,0
leash,100,1,0
drugstore,100,0,0
baker,100,0,0
beach,100,0,0
desert,100,0,0
builder,100,0,0
granny,100,1,1
woman,100,1,1
bear,100,0,1
garage,100,0,1
river,100,1,1
computer,100,1,1
clown,100,1,1
scissors,100,1,1
candle,100,1,1
barn,100,1,1
bag,100,1,1
knife,100,0,1
santa,100,0,1
table,100,0,1
castle,100,0,1
waitress,100,1,1
church,100,0,1
monkey,100,0,1
frog,100,0,1
rabbit,100,0,1
mechanic,100,0,1
cake,100,1,1
honey,100,1,1
airplane,100,1,1
mouse,100,1,1
lamp,100,0,1
ball,100,0,1
letter,100,0,1
dragon,100,0,1
axe,100,0,1
hands,100,1,2
bone,100,0,2
girl,100,1,2
hammer,100,2,2
flower,100,2,2
teacher,100,1,2
restaurant,100,0,2
boat,100,0,2
child,100,2,2
baby,100,1,2
fly,100,1,2
circus,100,1,2
ship,100,1,2
book,100,0,2
man,100,1,2
milk,100,3,3
coffee,100,3,3
school,100,0,3
house,100,0,3
spider,100,2,3
chef,100,2,3
boy,100,1,3
cheese,100,1,3
student,100,1,3
horse,100,0,3
hospital,100,0,3
pencil,100,1,3
tree,100,0,3
pie,100,2,3
paper,100,1,4
lion,100,2,4
bird,100,0,4
witch,100,3,4
cow,100,3,4
sheep,100,1,4
beer,100,3,4
pilot,100,3,4
car,100,2,4
dog,100,2,4
crown,100,2,5
bed,100,2,5
doctor,100,2,5
cat,100,4,6
shoes,100,5,7
king,100,4,7
